,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Date
240,merauke,-8.4667,140.3333,81.75,69,34,11.45,1626745828
241,santa rosa,14.3122,121.1114,84.18,91,100,8.88,1626745810
242,cap-aux-meules,47.3821,-61.8597,68.05,94,75,8.05,1626745828
243,naze,28.3667,129.4833,79.72,88,100,30.82,1626745707
244,yar-sale,66.8333,70.8333,62.1,63,36,13.31,1626745737
245,aviles,43.5547,-5.9248,66.92,90,90,1.99,1626745829
246,thompson,55.7435,-97.8558,69.96,35,20,3.44,1626745504
247,urumqi,43.801,87.6005,81.55,23,0,6.71,1626745700
248,saint-philippe,-21.3585,55.7679,69.39,74,69,15.37,1626745649
249,touros,-5.1989,-35.4608,74.3,80,10,15.12,1626745756
250,morgan city,29.6994,-91.2068,81.01,100,20,0.0,1626745829
251,yeniseysk,58.4497,92.1703,66.25,65,79,1.54,1626745751
252,sal rei,16.1833,-22.9167,77.56,89,33,14.07,1626745830
253,kavieng,-2.5744,150.7967,83.52,72,97,8.66,1626745621
254,bethel,41.3712,-73.414,72.75,87,75,0.0,1626745678
255,codrington,-38.2667,141.9667,49.21,62,100,28.66,1626745633
256,richards bay,-28.783,32.0377,56.62,79,0,9.48,1626745720
257,oromocto,45.8351,-66.4792,68.25,94,40,4.61,1626745830
258,saint anthony,45.0205,-93.218,83.82,60,1,1.99,1626745831
259,fayetteville,35.0527,-78.8784,74.23,95,90,3.0,1626745768
260,praya,14.9215,-23.5087,75.74,88,75,2.3,1626745658
261,mbanza-ngungu,-5.25,14.8667,64.72,84,1,4.61,1626745831
262,port hedland,-20.3167,118.5667,82.45,17,53,6.91,1626745831
263,sioux lookout,50.1001,-91.917,61.18,88,90,8.05,1626745727
264,bela,25.9333,81.9833,86.05,72,97,6.46,1626745832
265,antofagasta,-23.65,-70.4,56.48,77,100,3.29,1626745763
266,songjianghe,42.1859,127.479,76.21,86,55,1.59,1626745832
267,altamira,-3.2033,-52.2064,77.0,68,51,2.86,1626745833
268,noumea,-22.2763,166.4572,75.99,99,68,5.75,1626745659
269,yumen,40.2833,97.2,80.1,24,100,10.76,1626745687
